clockwise,date,distance,field_condition,field_type,name,place,race_id,race_round,start_time,weather
右,2020/6/22,1400,不,ダ,タイタン賞競走,大井,202044062212,12R,20:50,雨
右,2020/6/22,1800,不,ダ,ポートサイド賞競走,大井,202044062211,11R,20:10,雨
右,2020/6/22,1200,不,ダ,C1九　十11,大井,202044062210,10R,19:30,雨
右,2020/6/22,1400,不,ダ,C1九　十11,大井,202044062209,9R,18:55,雨
右,2020/6/22,1600,不,ダ,C1九　十11,大井,202044062208,8R,18:20,雨
右,2020/6/22,1200,不,ダ,C2九　十,大井,202044062207,7R,17:45,雨
右,2020/6/22,1600,不,ダ,C2九　十,大井,202044062206,6R,17:15,雨
右,2020/6/22,1700,不,ダ,アマリリス特別競走,大井,202044062205,5R,16:45,雨
右,2020/6/22,1200,不,ダ,2歳　新馬,大井,202044062204,4R,16:10,雨
右,2020/6/22,1600,不,ダ,2歳　新馬,大井,202044062203,3R,15:40,雨
右,2020/6/22,1200,不,ダ,C3六　七,大井,202044062202,2R,15:10,雨
右,2020/6/22,1600,不,ダ,C3六　七,大井,202044062201,1R,14:40,雨
右,2020/6/22,1300,良,ダ,スプリント特別,水沢,202036062212,12R,18:30,曇
右,2020/6/22,1400,良,ダ,C1五組,水沢,202036062211,11R,17:55,曇
右,2020/6/22,1400,良,ダ,C1六組,水沢,202036062210,10R,17:20,曇
右,2020/6/22,1400,良,ダ,C2五組,水沢,202036062209,9R,16:40,曇
右,2020/6/22,1400,良,ダ,C2六組,水沢,202036062208,8R,16:05,曇
右,2020/6/22,1400,良,ダ,C2七組,水沢,202036062207,7R,15:30,曇
右,2020/6/22,1300,良,ダ,C2八組,水沢,202036062206,6R,14:55,曇
右,2020/6/22,1300,良,ダ,C2九組,水沢,202036062205,5R,14:20,曇
右,2020/6/22,1300,良,ダ,3歳C2二組,水沢,202036062204,4R,13:45,曇
右,2020/6/22,1300,良,ダ,3歳C2三組,水沢,202036062203,3R,13:10,曇
右,2020/6/22,850,良,ダ,C2,水沢,202036062202,2R,12:35,曇
右,2020/6/22,1300,良,ダ,2歳,水沢,202036062201,1R,12:00,曇
00,2020/6/22,200,,,B3ー6,帯広(ば),202065062211,11R,20:45,曇
00,2020/6/22,200,,,第11回ゴールドトロ,帯広(ば),202065062210,10R,20:05,曇
00,2020/6/22,200,,,B4ー3,帯広(ば),202065062209,9R,19:25,曇
00,2020/6/22,200,,,B4ー7,帯広(ば),202065062208,8R,18:45,曇
00,2020/6/22,200,,,B2ー3,帯広(ば),202065062207,7R,18:10,曇
00,2020/6/22,200,,,C1ー4,帯広(ば),202065062206,6R,17:35,曇
00,2020/6/22,200,,,2歳　未受賞,帯広(ば),202065062205,5R,17:00,曇
00,2020/6/22,200,,,2歳　新馬,帯広(ば),202065062204,4R,16:25,曇
00,2020/6/22,200,,,2歳　新馬,帯広(ば),202065062203,3R,15:50,曇
00,2020/6/22,200,,,2歳　新馬,帯広(ば),202065062202,2R,15:15,曇
00,2020/6/22,200,,,C2ー7,帯広(ば),202065062201,1R,14:35,曇
右,2020/6/21,1200,稍,ダ,3歳以上2勝クラス,阪神,202009030612,12R,16:15,晴
右 外,2020/6/21,1600,良,芝,米子ステークス,阪神,202009030611,11R,15:35,晴
右,2020/6/21,2000,良,芝,垂水ステークス,阪神,202009030610,10R,15:01,晴
右,2020/6/21,2000,稍,ダ,鷹取特別,阪神,202009030609,9R,14:25,晴
右 外,2020/6/21,1600,良,芝,3歳以上1勝クラス,阪神,202009030608,8R,13:55,晴
右 外,2020/6/21,1800,良,芝,3歳以上1勝クラス,阪神,202009030607,7R,13:25,晴
右,2020/6/21,1400,稍,ダ,3歳以上1勝クラス,阪神,202009030606,6R,12:55,晴
右 外,2020/6/21,1600,良,芝,2歳新馬,阪神,202009030605,5R,12:25,晴
右,2020/6/21,1200,稍,ダ,3歳未勝利,阪神,202009030604,4R,11:35,晴
右,2020/6/21,1800,稍,ダ,3歳未勝利,阪神,202009030603,3R,11:05,晴
右,2020/6/21,2200,良,芝,3歳未勝利,阪神,202009030602,2R,10:35,晴
芝 ダート,2020/6/21,2970,稍,障,障害3歳以上未勝利,阪神,202009030601,1R,10:01,晴
左,2020/6/21,1400,稍,芝,3歳以上1勝クラス,東京,202005030612,12R,16:30,曇
左,2020/6/21,1600,稍,ダ,第25回ユニコーンステークス,東京,202005030611,11R,15:45,曇
左,2020/6/21,1400,稍,芝,多摩川ステークス,東京,202005030610,10R,15:10,曇
左,2020/6/21,1600,稍,ダ,青梅特別,東京,202005030609,9R,14:35,曇
左,2020/6/21,2400,稍,芝,3歳以上1勝クラス,東京,202005030608,8R,14:05,晴
左,2020/6/21,1400,稍,ダ,3歳以上1勝クラス,東京,202005030607,7R,13:35,晴
左,2020/6/21,1800,稍,芝,3歳未勝利,東京,202005030606,6R,13:05,晴
左,2020/6/21,1600,稍,芝,2歳新馬,東京,202005030605,5R,12:35,晴
左,2020/6/21,1600,稍,ダ,3歳未勝利,東京,202005030604,4R,11:45,晴
左,2020/6/21,1400,稍,ダ,3歳未勝利,東京,202005030603,3R,11:15,晴
左,2020/6/21,1600,稍,ダ,3歳未勝利,東京,202005030602,2R,10:45,曇
左,2020/6/21,1400,稍,芝,2歳未勝利,東京,202005030601,1R,10:10,曇
右,2020/6/21,1700,良,ダ,津軽海峡特別,函館,202002010412,12R,16:05,晴
右,2020/6/21,1200,良,芝,第27回函館スプリントS,函館,202002010411,11R,15:25,晴
右,2020/6/21,2000,良,芝,奥尻特別,函館,202002010410,10R,14:50,晴
右,2020/6/21,1700,良,ダ,3歳以上1勝クラス,函館,202002010409,9R,14:15,晴
右,2020/6/21,1200,良,芝,3歳以上1勝クラス,函館,202002010408,8R,13:45,晴
右,2020/6/21,1700,良,ダ,3歳以上1勝クラス,函館,202002010407,7R,13:15,晴
右,2020/6/21,2600,良,芝,3歳未勝利,函館,202002010406,6R,12:45,晴
右,2020/6/21,1200,良,芝,2歳新馬,函館,202002010405,5R,12:15,晴
右,2020/6/21,1800,良,芝,3歳未勝利,函館,202002010404,4R,11:25,晴
右,2020/6/21,1700,良,ダ,3歳未勝利,函館,202002010403,3R,10:55,晴
右,2020/6/21,1000,良,ダ,3歳未勝利,函館,202002010402,2R,10:25,晴
右,2020/6/21,1200,良,芝,3歳未勝利,函館,202002010401,1R,09:50,晴
右,2020/6/21,1400,良,ダ,しし座特選,佐賀,202055062112,12R,19:10,晴
右,2020/6/21,1400,良,ダ,レインボー賞,佐賀,202055062111,11R,18:35,晴
右,2020/6/21,900,良,ダ,第2回佐賀がばいダッシュ,佐賀,202055062110,10R,18:00,晴
右,2020/6/21,1750,良,ダ,長崎街道山家宿特選,佐賀,202055062109,9R,17:25,晴
右,2020/6/21,1400,良,ダ,さがけいば最終レース,佐賀,202055062108,8R,16:55,晴
右,2020/6/21,1400,良,ダ,C1ー5組,佐賀,202055062107,7R,16:25,晴
右,2020/6/21,1400,良,ダ,C2ー4組,佐賀,202055062106,6R,15:55,曇
右,2020/6/21,1300,良,ダ,C2ー6組,佐賀,202055062105,5R,15:15,曇
右,2020/6/21,1300,稍,ダ,C2ー8組,佐賀,202055062104,4R,14:40,曇
右,2020/6/21,1400,稍,ダ,3歳ー7組,佐賀,202055062103,3R,14:10,曇
右,2020/6/21,1400,稍,ダ,3歳ー8組,佐賀,202055062102,2R,13:40,曇
右,2020/6/21,1400,稍,ダ,3歳ー9組,佐賀,202055062101,1R,13:10,曇
